motor_name,avg_voltage_v,prop,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
iFlight XING-E 3314 900KV,24.0,8.0x4.0x3 HQ,50,689.0,24.1,6.16,148.5,4.64,
iFlight XING-E 3314 900KV,24.0,8.0x4.0x3 HQ,60,977.0,24.05,9.41,226.3,4.32,
iFlight XING-E 3314 900KV,24.0,8.0x4.0x3 HQ,70,1297.0,23.98,13.57,325.4,3.98,
iFlight XING-E 3314 900KV,24.0,8.0x4.0x3 HQ,80,1656.0,23.91,18.79,449.3,3.69,
iFlight XING-E 3314 900KV,24.0,8.0x4.0x3 HQ,90,2034.0,23.82,25.07,597.2,3.41,
iFlight XING-E 3314 900KV,24.0,8.0x4.0x3 HQ,100,2355.0,23.74,30.28,718.8,3.28,
iFlight XING-E 3314 900KV,24.0,9.0x4.0x3 HQ,50,956.0,24.06,8.34,200.7,4.76,
iFlight XING-E 3314 900KV,24.0,9.0x4.0x3 HQ,60,1341.0,24.0,12.73,305.5,4.39,
iFlight XING-E 3314 900KV,24.0,9.0x4.0x3 HQ,70,1755.0,23.92,18.32,438.2,4.0,
iFlight XING-E 3314 900KV,24.0,9.0x4.0x3 HQ,80,2269.0,23.81,25.59,609.3,3.72,
iFlight XING-E 3314 900KV,24.0,9.0x4.0x3 HQ,90,2787.0,23.69,34.2,810.2,3.44,
iFlight XING-E 3314 900KV,24.0,9.0x4.0x3 HQ,100,3213.0,23.59,41.44,977.6,3.29,
iFlight XING-E 3314 900KV,24.0,10.0x4.5x3 HQ,50,1358.0,24.02,11.79,283.2,4.8,
iFlight XING-E 3314 900KV,24.0,10.0x4.5x3 HQ,60,1972.0,23.93,17.83,426.7,4.62,
iFlight XING-E 3314 900KV,24.0,10.0x4.5x3 HQ,70,2558.0,23.81,26.11,621.7,4.12,
iFlight XING-E 3314 900KV,24.0,10.0x4.5x3 HQ,80,3191.0,23.66,36.63,866.7,3.68,
iFlight XING-E 3314 900KV,24.0,10.0x4.5x3 HQ,90,3633.0,23.5,48.14,1131.3,3.21,
iFlight XING-E 3314 900KV,24.0,10.0x4.5x3 HQ,100,4191.0,23.36,58.48,1366.1,3.07,
iFlight XING2 2809 800KV,24.0,8.0x4.0x3 HQ,50,520.0,24.12,3.99,96.2,5.4,
iFlight XING2 2809 800KV,24.0,8.0x4.0x3 HQ,60,735.0,24.09,6.14,147.9,4.97,
iFlight XING2 2809 800KV,24.0,8.0x4.0x3 HQ,70,985.0,24.04,8.97,215.6,4.57,
iFlight XING2 2809 800KV,24.0,8.0x4.0x3 HQ,80,1234.0,23.99,12.51,300.1,4.11,
iFlight XING2 2809 800KV,24.0,8.0x4.0x3 HQ,90,1499.0,23.93,16.55,396.0,3.78,
iFlight XING2 2809 800KV,24.0,8.0x4.0x3 HQ,100,1713.0,23.9,19.58,468.0,3.66,
iFlight XING2 2809 800KV,24.0,9.0x4.0x3 HQ,50,700.0,24.1,5.33,128.5,5.45,
iFlight XING2 2809 800KV,24.0,9.0x4.0x3 HQ,60,973.0,24.06,8.33,200.4,4.85,
iFlight XING2 2809 800KV,24.0,9.0x4.0x3 HQ,70,1273.0,24.0,11.96,287.0,4.43,
iFlight XING2 2809 800KV,24.0,9.0x4.0x3 HQ,80,1561.0,23.93,16.55,396.0,3.94,
iFlight XING2 2809 800KV,24.0,9.0x4.0x3 HQ,90,1856.0,23.87,21.66,517.0,3.59,
iFlight XING2 2809 800KV,24.0,9.0x4.0x3 HQ,100,2091.0,23.81,25.63,610.3,3.43,
iFlight XING-E Pro 2207 2450KV,16.0,5.0x5.0,50,495.0,16,7.93,126.9,3.901,
