motor_name,avg_voltage_v,prop,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
MAD BSC2812 925KV,25.0,8.0x4.0x3,30,420.0,25.0,3.16,79.0,5.3,7923
MAD BSC2812 925KV,25.0,8.0x4.0x3,35,515.0,25.0,4.06,101.5,5.1,8683
MAD BSC2812 925KV,25.0,8.0x4.0x3,40,606.0,25.0,5.0,125.0,4.9,9403
MAD BSC2812 925KV,25.0,8.0x4.0x3,45,699.0,25.0,5.96,149.0,4.7,10012
MAD BSC2812 925KV,25.0,8.0x4.0x3,50,793.0,25.0,6.92,173.0,4.6,10576
MAD BSC2812 925KV,25.0,8.0x4.0x3,55,889.0,25.0,7.89,197.3,4.5,11151
MAD BSC2812 925KV,25.0,8.0x4.0x3,60,1001.0,25.0,9.32,233.0,4.3,11780
MAD BSC2812 925KV,25.0,8.0x4.0x3,65,1153.0,25.0,10.84,271.0,4.3,12587
MAD BSC2812 925KV,25.0,8.0x4.0x3,70,1328.0,25.0,13.13,328.3,4.0,13425
MAD BSC2812 925KV,25.0,8.0x4.0x3,75,1512.0,25.0,15.81,395.3,3.8,14187
MAD BSC2812 925KV,25.0,8.0x4.0x3,80,1684.0,25.0,18.48,462.0,3.6,14972
MAD BSC2812 925KV,25.0,8.0x4.0x3,85,1885.0,25.0,21.72,543.0,3.5,15698
MAD BSC2812 925KV,25.0,8.0x4.0x3,90,2073.0,25.0,25.09,627.3,3.3,16403
MAD BSC2812 925KV,25.0,8.0x4.0x3,95,2260.0,25.0,28.46,711.5,3.2,17064
MAD BSC2812 925KV,25.0,8.0x4.0x3,100,2454.0,25.0,32.26,806.5,3.0,17694
MAD BSC2812 925KV,25.0,9.0x5.0x3,30,520.0,25.0,3.74,93.5,5.6,6056
MAD BSC2812 925KV,25.0,9.0x5.0x3,35,639.0,25.0,4.59,114.8,5.6,6645
MAD BSC2812 925KV,25.0,9.0x5.0x3,40,800.0,25.0,6.34,158.5,5.0,7360
MAD BSC2812 925KV,25.0,9.0x5.0x3,45,987.0,25.0,8.33,208.3,4.7,8056
MAD BSC2812 925KV,25.0,9.0x5.0x3,50,1194.0,25.0,10.7,267.5,4.5,8788
MAD BSC2812 925KV,25.0,9.0x5.0x3,55,1377.0,25.0,14.65,366.3,3.8,9392
MAD BSC2812 925KV,25.0,9.0x5.0x3,60,1566.0,25.0,17.43,435.8,3.6,9928
MAD BSC2812 925KV,25.0,9.0x5.0x3,65,1773.0,25.0,20.36,509.0,3.5,10604
MAD BSC2812 925KV,25.0,9.0x5.0x3,70,1986.0,25.0,24.36,609.0,3.3,11228
MAD BSC2812 925KV,25.0,9.0x5.0x3,75,2153.0,25.0,28.13,703.3,3.1,11625
MAD BSC2812 925KV,25.0,9.0x5.0x3,80,2389.0,25.0,32.91,822.8,2.9,12111
