motor_name,avg_voltage_v,prop,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
T-Motor Pacer V3 P2207 1950KV,25.2,4.9in P49436-3,20,259.3,25.2,2.6,66.0,3.93,13110
T-Motor Pacer V3 P2207 1950KV,25.2,4.9in P49436-3,40,634.4,25.2,9.2,230.5,2.75,19960
T-Motor Pacer V3 P2207 1950KV,25.2,4.9in P49436-3,60,928.1,25.1,16.9,423.9,2.19,24042
T-Motor Pacer V3 P2207 1950KV,25.2,4.9in P49436-3,80,1378.8,24.9,28.1,700.4,1.97,28976
T-Motor Pacer V3 P2207 1950KV,25.2,4.9in P49436-3,100,1760.1,24.8,43.8,1084.5,1.62,33011
T-Motor Pacer V3 P2207 2080KV,23.0,4.9in P49436-3,20,227.9,23.0,2.5,57.9,3.94,12504
T-Motor Pacer V3 P2207 2080KV,23.0,4.9in P49436-3,40,581.0,23.0,8.8,201.1,2.89,19131
T-Motor Pacer V3 P2207 2080KV,23.0,4.9in P49436-3,60,844.3,22.9,16.1,367.6,2.3,23133
T-Motor Pacer V3 P2207 2080KV,23.0,4.9in P49436-3,80,1256.0,22.8,26.0,590.4,2.13,27794
T-Motor Pacer V3 P2207 2080KV,23.0,4.9in P49436-3,100,1628.4,22.6,41.9,945.1,1.72,31901
T-Motor Pacer V3 P2207 2080KV,24.0,5.1x4.3x3 T5143S-3,20,233.4,24.0,2.7,63.8,3.66,12505
T-Motor Pacer V3 P2207 2080KV,24.0,5.1x4.3x3 T5143S-3,40,592.1,23.9,9.4,224.8,2.63,19243
T-Motor Pacer V3 P2207 2080KV,24.0,5.1x4.3x3 T5143S-3,60,872.3,23.8,17.5,417.3,2.09,23263
T-Motor Pacer V3 P2207 2080KV,24.0,5.1x4.3x3 T5143S-3,80,1320.6,23.7,28.0,665.0,1.99,28086
T-Motor Pacer V3 P2207 2080KV,24.0,5.1x4.3x3 T5143S-3,100,1668.3,23.5,44.0,1036.2,1.61,31754
T-Motor Pacer V3 P2207 2550KV,16.8,4.9in P49436-3,20,177.1,16.8,2.9,48.8,3.63,11241
T-Motor Pacer V3 P2207 2550KV,16.8,4.9in P49436-3,40,466.6,16.7,9.2,153.5,3.04,17463
T-Motor Pacer V3 P2207 2550KV,16.8,4.9in P49436-3,60,714.3,16.6,16.5,273.9,2.61,21322
T-Motor Pacer V3 P2207 2550KV,16.8,4.9in P49436-3,80,1013.4,16.5,26.7,440.4,2.3,25214
T-Motor Pacer V3 P2207 2550KV,16.8,4.9in P49436-3,100,1392.1,16.3,42.9,700.0,1.99,29349
T-Motor Pacer V3 P2207 2550KV,16.8,5.1x4.3x3 T5143S-3,20,176.1,16.8,3.0,49.7,3.54,11071
T-Motor Pacer V3 P2207 2550KV,16.8,5.1x4.3x3 T5143S-3,40,470.2,16.7,9.3,156.0,3.01,17098
T-Motor Pacer V3 P2207 2550KV,16.8,5.1x4.3x3 T5143S-3,60,696.3,16.6,16.7,277.9,2.51,21031
