motor_name,avg_voltage_v,prop,prop_model,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
T-Motor Velox V2306 V3 2550KV,16.0,4.9x?x3,P49436-3,20.0,121.4,16.0,2.3,36.2,3.35,10520
T-Motor Velox V2306 V3 2550KV,16.0,4.9x?x3,P49436-3,40.0,332.5,15.9,6.8,108.3,3.07,16221
T-Motor Velox V2306 V3 2550KV,16.0,4.9x?x3,P49436-3,60.0,531.8,15.9,12.3,195.3,2.72,19987
T-Motor Velox V2306 V3 2550KV,16.0,4.9x?x3,P49436-3,80.0,758.5,15.7,19.4,305.6,2.48,23741
T-Motor Velox V2306 V3 2550KV,16.0,4.9x?x3,P49436-3,100.0,1087.0,15.5,32.3,502.2,2.16,28139
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.3x3,T5143S-3,20.0,126.7,16.0,2.3,36.1,3.51,10367
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.3x3,T5143S-3,40.0,330.3,15.9,6.8,108.8,3.04,16014
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.3x3,T5143S-3,60.0,521.8,15.8,12.5,197.4,2.64,19778
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.3x3,T5143S-3,80.0,762.9,15.7,19.8,310.8,2.45,23611
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.3x3,T5143S-3,100.0,1091.2,15.5,32.8,508.6,2.15,27994
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.7x3,T5147-3,20.0,137.8,16.0,2.3,36.2,3.81,10315
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.7x3,T5147-3,40.0,367.3,15.9,6.9,109.9,3.34,15688
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.7x3,T5147-3,60.0,576.7,15.8,12.8,202.1,2.85,19505
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.7x3,T5147-3,80.0,849.4,15.7,20.6,324.3,2.62,23309
T-Motor Velox V2306 V3 2550KV,16.0,5.1x4.7x3,T5147-3,100.0,1221.6,15.5,34.5,533.7,2.29,27522
XING 2806.5 1300KV,23.65,7.0x4.0x2,,50.0,593.0,23.94,5.9,141.2,4.201,
XING 2806.5 1300KV,23.65,7.0x4.0x2,,60.0,856.0,23.69,9.48,224.6,3.811,
XING 2806.5 1300KV,23.65,7.0x4.0x2,,70.0,1159.0,23.51,13.8,324.4,3.573,
XING 2806.5 1300KV,23.65,7.0x4.0x2,,80.0,1451.0,23.48,19.78,464.4,3.124,
XING 2806.5 1300KV,23.65,7.0x4.0x2,,90.0,1747.0,23.41,26.8,627.4,2.785,
XING 2806.5 1300KV,23.65,7.0x4.0x2,,100.0,2058.0,23.33,32.38,755.4,2.725,
XING 2806.5 1300KV,23.65,7.0x4.0x3,,50.0,872.0,23.95,8.42,201.7,4.323,
XING 2806.5 1300KV,23.65,7.0x4.0x3,,60.0,1147.0,23.88,13.91,332.2,3.452,
XING 2806.5 1300KV,23.65,7.0x4.0x3,,70.0,1438.0,23.85,19.2,457.9,3.141,
XING 2806.5 1300KV,23.65,7.0x4.0x3,,80.0,1797.0,23.59,27.23,642.4,2.797,
XING 2806.5 1300KV,23.65,7.0x4.0x3,,90.0,2078.0,23.48,35.16,825.6,2.517,
XING 2806.5 1300KV,23.65,7.0x4.0x3,,100.0,2319.0,23.42,42.33,991.4,2.339,
XING 2806.5 1300KV,23.65,8.0x4.0x3,,50.0,1034.0,23.91,10.42,249.1,4.152,
XING 2806.5 1300KV,23.65,8.0x4.0x3,,60.0,1363.0,23.88,17.19,410.5,3.319,
XING 2806.5 1300KV,23.65,8.0x4.0x3,,70.0,1683.0,23.84,23.38,557.4,3.019,
XING 2806.5 1300KV,23.65,8.0x4.0x3,,80.0,2036.0,23.59,31.1,733.6,2.775,
XING 2806.5 1300KV,23.65,8.0x4.0x3,,90.0,2328.0,23.48,40.48,950.5,2.449,
XING 2806.5 1300KV,23.65,8.0x4.0x3,,100.0,2510.0,23.44,48.33,1132.9,2.215,
XING2 3110 900KV,30.8,10.0x5.0x3,,50.0,789.0,24.91,9.95,247.9,3.18,
XING2 3110 900KV,30.8,10.0x5.0x3,,60.0,1191.0,24.36,16.38,399.0,2.98,
XING2 3110 900KV,30.8,10.0x5.0x3,,70.0,1639.0,23.73,23.85,566.0,2.9,
XING2 3110 900KV,30.8,10.0x5.0x3,,80.0,2193.0,23.18,34.58,801.6,2.74,
XING2 3110 900KV,30.8,10.0x5.0x3,,90.0,2768.0,22.58,46.85,1057.9,2.62,
XING2 3110 900KV,30.8,10.0x5.0x3,,100.0,2906.0,21.86,49.85,1089.7,2.67,
